"timestamp", "logmsg"
"2022-11-07 15:01:37.659 -00:00","b'{""time"":""Mon, 07 Nov 2022 15:01:36 GMT""}'"
"2022-11-07 14:57:10.725 -00:00","b'{""time"":""Mon, 07 Nov 2022 14:57:10 GMT""}'"
"2022-11-07 14:53:19.653 -00:00","b'{""time"":""Mon, 07 Nov 2022 14:53:19 GMT""}'"
"2022-11-07 14:53:10.734 -00:00","b'{""time"":""Mon, 07 Nov 2022 14:53:10 GMT""}'"
"2022-11-07 14:35:39.159 -00:00","b'{""time"":""Mon, 07 Nov 2022 14:35:39 GMT""}'"
"2022-11-07 14:33:15.254 -00:00","b'active_project: 84180a82-5ea2-11ed-818d-0242ac110002\nopen_projects:\n- id: 6ac39b46-5ea2-11ed-a26a-0242ac110002\n  name: Skywalker\n  path: /home/cnext/sample-projects/Skywalker/Skywalker\n- id: 84180a82-5ea2-11ed-818d-0242ac110002\n  name: CnextProject2\n  path: /home/cnext/sample-projects/CnextProject2\n'"
"2022-11-07 14:32:53.081 -00:00","b'{""dataFrames"": {""metadata"": {}, ""tableData"": {}, ""dfUpdates"": {}, ""dfUpdatesReview"": {}, ""activeDataFrame"": null, ""tableDataReady"": false, ""loadDataRequest"": {""df_id"": null, ""count"": 0, ""from_index"": 0}, ""loadColumnHistogram"": false, ""dfFilter"": {}, ""dataViewMode"": ""Table View"", ""dataPanelFocusSignal"": 0, ""udfsSelector"": {}, ""registeredUDFs"": {""udfs"": {}, ""timestamp"": ""0""}, ""columnSelector"": {}, ""tableMetadataUpdateSignal"": {}}, ""codeEditor"": {""codeText"": {""eda-udf/eda.py"": [""%load_ext autoreload"", ""%autoreload 2"", ""import cnextlib.dataframe as cd"", ""import pandas as pd "", ""from udf import *"", """", """", ""from udf import *"", ""df = pd.read_csv(\'/home/cnext/sample-projects/CnextProject2/data/train.csv\')"", ""test_df = pd.read_csv(\'/home/cnext/sample-projects/CnextProject2/data/test.csv\')"", ""df2 = df.drop(\'full_text\',axis = 1 )"", ""import dask.dataframe as dd"", """", ""ddf = dd.read_csv(\'/home/cnext/sample-projects/CnextProject2/data/test.csv\')"", ""ddf.compute()"", ""import logging"", ""try:"", ""    print(\'a\')"", ""    b = 1/0"", ""except Exception as e:"", ""    logging.critical(e, exc_info=True) "", """"]}, ""codeLines"": {""eda-udf/eda.py"": [{""lineID"": ""jnDDjtTAu"", ""status"": 1, ""generated"": false, ""groupID"": ""29QrKRshH"", ""result"": [{""type"": ""rich_output"", ""subType"": ""text/markdown"", ""content"": {""text/markdown"": null}}]}, {""lineID"": ""gYR-vcXjf"", ""status"": 1, ""generated"": false, ""groupID"": ""29QrKRshH""}, {""lineID"": ""57rlulXe6Y"", ""status"": 1, ""generated"": false, ""groupID"": ""29QrKRshH""}, {""lineID"": ""e5tS2nqvRC"", ""status"": 1, ""generated"": false, ""groupID"": ""29QrKRshH""}, {""lineID"": ""sPeSN9Ube"", ""status"": 1, ""generated"": false, ""groupID"": ""29QrKRshH""}, {""lineID"": ""c04lLmFQE"", ""status"": 0, ""result"": [{""type"": ""rich_output"", ""subType"": ""text/markdown"", ""content"": {""text/markdown"": null}}], ""generated"": false, ""groupID"": ""wPsYBz1qWb""}, {""lineID"": ""kZy30N6rC"", ""status"": 0, ""generated"": false, ""groupID"": ""5hKsWCzyiu""}, {""lineID"": ""JTh4932jk"", ""status"": 3, ""generated"": false, ""groupID"": ""EZcyVrYuT9""}, {""lineID"": ""ELMjgk_47"", ""status"": 3, ""generated"": false, ""groupID"": ""EZcyVrYuT9""}, {""lineID"": ""RamhVY3mD"", ""status"": 3, ""generated"": false, ""groupID"": ""1Eli9ESAXS""}, {""lineID"": ""A1Rxt2bbm"", ""status"": 3, ""generated"": false, ""groupID"": ""Nf67cISrUi""}, {""lineID"": ""K9-N7yRr0"", ""status"": 3, ""result"": [{""type"": ""rich_output"", ""subType"": null, ""content"": {""text/plain"": ""        text_id                                          full_text\\n0  0000C359D63E  when a person has no experience on a job their...\\n1  000BAD50D026  Do you think students would benefit from being...\\n2  00367BB2546B  Thomas Jefferson once states that \\""it is wonde..."", ""text/html"": ""<div>\\n<style scoped>\\n    .dataframe tbody tr th:only-of-type {\\n        vertical-align: middle;\\n    }\\n\\n    .dataframe tbody tr th {\\n        vertical-align: top;\\n    }\\n\\n    .dataframe thead th {\\n        text-align: right;\\n    }\\n</style>\\n<table border=\\""1\\"" class=\\""dataframe\\"">\\n  <thead>\\n    <tr style=\\""text-align: right;\\"">\\n      <th></th>\\n      <th>text_id</th>\\n      <th>full_text</th>\\n    </tr>\\n  </thead>\\n  <tbody>\\n    <tr>\\n      <th>0</th>\\n      <td>0000C359D63E</td>\\n      <td>when a person has no experience on a job their...</td>\\n    </tr>\\n    <tr>\\n      <th>1</th>\\n      <td>000BAD50D026</td>\\n      <td>Do you think students would benefit from being...</td>\\n    </tr>\\n    <tr>\\n      <th>2</th>\\n      <td>00367BB2546B</td>\\n      <td>Thomas Jefferson once states that \\""it is wonde...</td>\\n    </tr>\\n  </tbody>\\n</table>\\n</div>""}, ""msg_id"": ""fc087d8f-975667997df4e1f36d19a4b8_45_2625""}], ""generated"": false, ""groupID"": ""Qcuh2ktbEI""}, {""lineID"": ""_zfMAZYA6"", ""status"": 3, ""generated"": false, ""groupID"": ""Qcuh2ktbEI""}, {""lineID"": ""J9cqYXj1cU"", ""status"": 3, ""generated"": false, ""groupID"": ""Qcuh2ktbEI""}, {""lineID"": ""7-haqboTK"", ""status"": 3, ""generated"": false, ""groupID"": ""Qcuh2ktbEI""}, {""lineID"": ""gISvi61hx"", ""status"": 1, ""generated"": false, ""groupID"": ""r8sxHGgzpi""}, {""lineID"": ""H5UMFKRQS"", ""status"": 1, ""generated"": false, ""groupID"": ""r8sxHGgzpi""}, {""lineID"": ""sXDbYMZgG"", ""status"": 1, ""generated"": false, ""groupID"": ""r8sxHGgzpi""}, {""lineID"": ""WPZW8mvEX8"", ""status"": 1, ""generated"": false, ""groupID"": ""r8sxHGgzpi""}, {""lineID"": ""KdhJ4_j5m"", ""status"": 1, ""generated"": false, ""groupID"": ""r8sxHGgzpi""}, {""lineID"": ""IjsY6W1Wt0"", ""status"": 1, ""generated"": false, ""groupID"": ""r8sxHGgzpi""}, {""lineID"": ""NdAhbQjy6"", ""status"": 0, ""generated"": false, ""groupID"": ""CZKjJ5ceHe""}]}, ""codeStates"": {""eda-udf/eda.py"": {}}, ""timestamp"": {}, ""runQueue"": {""status"": 1, ""queue"": [{""lineRange"": {""fromLine"": 0, ""toLine"": 5}, ""inViewID"": ""eda-udf/eda.py""}, {""lineRange"": {""fromLine"": 0, ""toLine"": 5}, ""inViewID"": ""eda-udf/eda.py""}, {""lineRange"": {""fromLine"": 0, ""toLine"": 5}, ""inViewID"": ""eda-udf/eda.py""}]}, ""resultUpdateSignal"": 3, ""resultNewOutputSignal"": 2, ""maxTextOutputOrder"": 0, ""textOutputUpdateSignal"": 16, ""lineStatusUpdateCount"": 6, ""cellAssocUpdateCount"": 4, ""activeLine"": ""kZy30N6rC"", ""activeGroup"": ""5hKsWCzyiu"", ""activeLineNumber"": 6, ""codeToInsert"": null, ""saveCodeTextCounter"": 2, ""saveCodeLineCounter"": 10, ""lastLineUpdate"": {""eda-udf/eda.py"": {""inViewID"": ""eda-udf/eda.py"", ""text"": [""%load_ext autoreload"", ""%autoreload 2"", ""import cnextlib.dataframe as cd"", ""import pandas as pd "", ""from udf import *"", """", """", ""from udf import *"", ""df = pd.read_csv(\'/home/cnext/sample-projects/CnextProject2/data/train.csv\')"", ""test_df = pd.read_csv(\'/home/cnext/sample-projects/CnextProject2/data/test.csv\')"", ""df2 = df.drop(\'full_text\',axis = 1 )"", ""import dask.dataframe as dd"", """", ""ddf = dd.read_csv(\'/home/cnext/sample-projects/CnextProject2/data/test.csv\')"", ""ddf.compute()"", ""import logging"", ""try:"", ""    print(\'a\')"", ""    b = 1/0"", ""except Exception as e:"", ""    logging.critical(e, exc_info=True) "", """"], ""updatedStartLineNumber"": 5, ""updatedLineCount"": 1, ""startLineChanged"": false}}, ""cellCommand"": null, ""inputRequestResultIndex"": -1, ""executor_execution_state"": null}, ""projectManager"": {""openFiles"": {""model.py"": {""path"": ""model.py"", ""name"": ""model.py"", ""executor"": null, ""timestamp"": null}, ""model2.py"": {""path"": ""model2.py"", ""name"": ""model2.py"", ""executor"": null, ""timestamp"": null}, ""eda-udf/udf.py"": {""path"": ""eda-udf/udf.py"", ""name"": ""udf.py"", ""executor"": null, ""timestamp"": null}, ""eda-udf/eda.py"": {""path"": ""eda-udf/eda.py"", ""name"": ""eda.py"", ""executor"": null, ""timestamp"": 1667831570.7647333}}, ""openOrder"": [""model.py"", ""model2.py"", ""eda-udf/udf.py"", ""eda-udf/eda.py""], ""activeProject"": {""id"": ""84180a82-5ea2-11ed-818d-0242ac110002"", ""name"": ""CnextProject2"", ""path"": ""/home/cnext/sample-projects/CnextProject2""}, ""executorID"": null, ""inViewID"": ""eda-udf/eda.py"", ""openDirs"": {}, ""fileToClose"": null, ""fileToOpen"": null, ""fileToSave"": [], ""stateFileToSave"": [], ""savingFile"": null, ""savingStateFile"": null, ""showProjectExplore"": false, ""serverSynced"": true, ""settings"": {""view_mode"": ""vertical"", ""layout"": {""project_explorer_size"": 200}, ""code_editor_shortcut"": {""run_queue"": ""Mod-Enter"", ""run_queue_then_move_down"": ""Shift-Enter"", ""set_group"": ""Mod-g"", ""set_ungroup"": ""Mod-u"", ""insert_group_below"": ""Mod-Shift-g"", ""insert_line_below"": ""Mod-Shift-l""}, ""app_shortcut"": {""autocompletion_on"": ""shift + a"", ""lint_on"": ""shift + l"", ""hover_on"": ""shift + h""}, ""code_editor"": {""lint"": true, ""autocompletion"": true, ""hover"": true}, ""dataframe_manager"": {""show_exec_text"": false, ""auto_display_data"": true}, ""rich_output"": {""show_markdown"": true}, ""experiment_manager"": {""local_tmp_dir"": ""/tmp/"", ""mlflow_tracking_uri"": ""/tmp/.mlflow""}, ""shortcut_keys"": {""run_queue"": ""Mod-l"", ""set_group"": ""Mod-k"", ""set_ungroup"": ""Mod-j""}}, ""projects"": [], ""workspaceMetadata"": {""active_project"": ""84180a82-5ea2-11ed-818d-0242ac110002"", ""open_projects"": [{""id"": ""6ac39b46-5ea2-11ed-a26a-0242ac110002"", ""name"": ""Skywalker"", ""path"": ""/home/cnext/sample-projects/Skywalker/Skywalker""}, {""id"": ""84180a82-5ea2-11ed-818d-0242ac110002"", ""name"": ""CnextProject2"", ""path"": ""/home/cnext/sample-projects/CnextProject2""}]}, ""projectToAdd"": null, ""projectToSetActive"": null}, ""experimentManager"": {""runDict"": null, ""expDict"": null, ""runningRunId"": null, ""runningExpId"": null, ""selectedExpId"": null}, ""modelManager"": {""modelInfo"": {}, ""activeModel"": null, ""modelViewerInfo"": null, ""modelViewerCounter"": 0, ""modelInfoReloadCounter"": 0, ""modelInfoUpdatedCounter"": 0}, ""richOutput"": {""textOutputUpdateSignal"": 5, ""textOutput"": [""Traceback (most recent call last):\\n  File \\""/home/cnext/.local/lib/python3.10/site-packages/cnext_server/server/python/dataframe_manager/dataframe_manager.py\\"", line 340, in handle_message\\n    if result[\\""status\\""] == IPythonConstants.ShellMessageStatus.OK:\\nTypeError: \'NoneType\' object is not subscriptable\\n""], ""richOutputFocused"": false}, ""notification"": {""notificationCounter"": 0, ""notificationText"": null}, ""terminal"": {""config"": {""port"": 5008, ""token"": ""token123""}, ""session"": null}, ""executorManager"": {""executorStatus"": {""alive_status"": false, ""resource_usage"": null}, ""executorRestartCounter"": 0}}'"
"2022-11-07 14:32:52.478 -00:00","b'[""WorkingPanel render"", ""CodePanel render "", ""Render RichOuputViewHeader "", ""DFExplorer render "", ""DFFilter setKeyHandler"", ""Send DataFrameManager request: "", ""FileManager send message: "", ""DFFilter setKeyHandler"", ""DataFrameManager got results for command "", ""FileManager got results..."", ""FileManager got working config: "", ""CodePanel render "", ""FileManager send message: "", ""FileManager send message: "", ""CodePanel render "", ""FileManager got results..."", ""FileManager got open_files result: "", ""ProjectManagerRedux: "", ""CodePanel render "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""Render TextIOContainer"", ""FileManager got results..."", ""FileManager got project configs result: "", ""CodeEditor init"", ""CodeEditor useEffect serverSynced, codeReloading, view"", ""change"", ""CodeEditor useEffect magicInfo "", ""CodeEditor editorRef.current"", ""CodeEditor runQueue"", ""FileManager send message: "", ""WorkingPanel render"", ""CodePanel render "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""Render RichOuputViewHeader "", ""DFExplorer render "", ""CodeEditor editorRef.current"", ""DFFilter setKeyHandler"", ""WorkingPanel set tracking uri: "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""CodeEditor stopMouseEvent "", ""CodeEditor useEffect serverSynced, codeReloading, view"", ""FileManager got results..."", ""FileManager got read_file result: "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""CodeEditor stopMouseEvent "", ""CodeEditor useEffect serverSynced, codeReloading, view"", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""CodeEditor stopMouseEvent "", ""CodeEditor useEffect serverSynced, codeReloading, view"", ""DataFrameManager got results for command "", ""DataFrameManager got results for command "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""CodeEditor stopMouseEvent "", ""CodeEditor setRunQueue lineNumberAtAnchor: "", ""CodeEditor setRunQueue: "", ""CodeEditorRedux pushRunQueue current status: "", ""CodeEditor addToRunQueueThenMoveDown: "", ""CodeEditor setAnchorToNextGroup: "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""CodeEditor stopMouseEvent "", ""CodeEditor runQueue"", ""CodeEditorRedux setRunQueueStatus current status: "", ""CodeEditor getRunningCommandContent code group to run: "", ""CodeEditor execLines: "", ""CodeEditor send message: "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""DataFrameManager got results for command "", ""CodeEditor stopMouseEvent "", ""CodeEditor runQueue"", ""DataFrameManager got results for command "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""CodeEditor stopMouseEvent "", ""FileManager send message: "", ""FileManager got results..."", ""CodeEditor setRunQueue lineNumberAtAnchor: "", ""CodeEditor setRunQueue: "", ""CodeEditorRedux pushRunQueue current status: "", ""CodeEditor addToRunQueueThenMoveDown: "", ""CodeEditor setAnchorToNextGroup: "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""CodeEditor stopMouseEvent "", ""CodeEditor runQueue"", ""Render TextIOContainer"", ""FileManager send message: "", ""FileManager got results..."", ""ExecutorManager send message: "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""CodeEditor stopMouseEvent "", ""CodeEditor insertGroupBelow "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""CodeEditor stopMouseEvent "", ""CodeEditor onCodeMirrorChange"", ""CodeEditor changeStartLine: "", ""CodeEditorRedux line update info: "", ""CodeEditor cAssist handleCAsisstTextUpdate tree: "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""CodeEditor stopMouseEvent "", ""CodeEditorRedux markdownText: "", ""CodeEditorRedux markdownText: "", ""FileManager codeText useEffect"", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""Render RichOuputViewHeader "", ""DFExplorer render "", ""CodeEditor stopMouseEvent "", ""DFFilter setKeyHandler"", ""FileManager: save file "", ""FileManager send:"", ""FileManager send message: "", ""FileManager send message: "", ""Render RichOuputViewHeader "", ""DFExplorer render "", ""DFFilter setKeyHandler"", ""FileManager got results..."", ""FileManager got results..."", ""Render RichOuputViewHeader "", ""ResultPanel render"", ""ResultPanel render"", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""ResultPanel render"", ""CodeEditor stopMouseEvent "", ""FileManager send message: "", ""FileManager got results..."", ""CodeEditor setRunQueue lineNumberAtAnchor: "", ""CodeEditor setRunQueue: "", ""CodeEditorRedux pushRunQueue current status: "", ""CodeEditor addToRunQueueThenMoveDown: "", ""CodeEditor setAnchorToNextGroup: "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""ResultPanel render"", ""CodeEditor stopMouseEvent "", ""CodeEditor runQueue"", ""CodeEditor insertGroupBelow "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""CodeEditor stopMouseEvent "", ""CodeEditor onCodeMirrorChange"", ""CodeEditor changeStartLine: "", ""CodeEditorRedux line update info: "", ""CodeEditor cAssist handleCAsisstTextUpdate tree: "", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""CodeEditor stopMouseEvent "", ""CodeEditorRedux markdownText: "", ""CodeEditorRedux markdownText: "", ""FileManager codeText useEffect"", ""CodeEditor LangExtenstions: "", ""CodeEditor render"", ""Render RichOuputViewHeader "", ""ResultPanel render"", ""CodeEditor stopMouseEvent "", ""FileManager: save file "", ""FileManager send:"", ""FileManager send message: "", ""FileManager send message: "", ""FileManager got results..."", ""FileManager got results...""]'"
"2022-11-07 14:31:37.525 -00:00","b'{""time"":""Mon, 07 Nov 2022 14:31:36 GMT""}'"
"2022-11-07 14:15:21.426 -00:00","b'{""time"":""Mon, 07 Nov 2022 14:15:20 GMT""}'"
